Participant,Run,IncludeRun,RunNum,TrialNum,Onset2,Response,RT,IsInterpolated,InfFeed,Posteriors
NF133,Run_05,TRUE,5,3,89,0,1.5488,FALSE,no_inf_exp.low_neg_out,0.4932
NF133,Run_05,TRUE,5,3,112,0,1.0638,FALSE,no_inf_exp.low_neg_out,-0.3889
NF133,Run_05,TRUE,5,4,127,0,1.24430000000001,FALSE,inf_exp.high_neg_out,0.5076
NF133,Run_05,TRUE,5,4,148,0,1.02969999999999,FALSE,inf_exp.high_neg_out,-0.4267
NF133,Run_05,TRUE,5,5,163,0,0.938700000000011,FALSE,no_inf_exp.high_pos_out,0.3527
NF133,Run_05,TRUE,5,5,184,0,2.1592,FALSE,no_inf_exp.high_pos_out,-0.3675
NF133,Run_05,TRUE,5,6,199,0,1.84880000000001,FALSE,no_inf_exp.high_neg_out,0.2968
NF133,Run_05,TRUE,5,6,221,0,1.89920000000001,FALSE,no_inf_exp.high_neg_out,-0.2212
NF133,Run_05,TRUE,5,7,236,0,1.97800000000001,FALSE,no_inf_exp.high_neg_out,0.3388
NF133,Run_05,TRUE,5,7,258,0,1.7681,FALSE,no_inf_exp.high_neg_out,-0.3311
NF133,Run_05,TRUE,5,8,273,0,1.7072,FALSE,inf_exp.low_neg_out,0.3782
NF133,Run_05,TRUE,5,8,296,0,1.92489999999998,FALSE,inf_exp.low_neg_out,-0.4342
NF133,Run_05,TRUE,5,9,311,0,1.45359999999999,FALSE,inf_exp.low_pos_out,0.2931
NF133,Run_05,TRUE,5,9,334,0,2.14240000000001,FALSE,inf_exp.low_pos_out,-0.4017
NF133,Run_05,TRUE,5,10,349,0,1.85070000000002,FALSE,no_inf_exp.low_pos_out,0.3367
NF133,Run_05,TRUE,5,10,371,0,2.01729999999998,FALSE,no_inf_exp.low_pos_out,-0.4183
NF133,Run_05,TRUE,5,11,386,0,1.76620000000003,FALSE,inf_exp.high_pos_out,0.3033
NF133,Run_05,TRUE,5,11,409,0,2.2824,FALSE,inf_exp.high_pos_out,-0.3307
NF133,Run_05,TRUE,5,12,424,0,NA,TRUE,no_inf_exp.low_neg_out,0.4081
NF133,Run_05,TRUE,5,12,445,0,NA,TRUE,no_inf_exp.low_neg_out,-0.3708
NF133,Run_06,TRUE,6,1,16,0,0.6754,FALSE,no_inf_exp.low_neg_out,0.4229
NF133,Run_06,TRUE,6,1,39,0,1.2813,FALSE,no_inf_exp.low_neg_out,-0.4097
NF133,Run_06,TRUE,6,2,54,0,0.944499999999998,FALSE,no_inf_exp.high_neg_out,0.4368
NF133,Run_06,TRUE,6,2,76,0,1.4106,FALSE,no_inf_exp.high_neg_out,-0.4461
NF133,Run_06,TRUE,6,3,91,0,1.2876,FALSE,inf_exp.high_pos_out,0.4735
NF133,Run_06,TRUE,6,3,112,0,1.3177,FALSE,inf_exp.high_pos_out,-0.5421
NF133,Run_06,TRUE,6,4,127,0,1.6354,FALSE,no_inf_exp.low_pos_out,0.5678
NF133,Run_06,TRUE,6,4,149,0,1.27979999999999,FALSE,no_inf_exp.low_pos_out,-0.5781
NF133,Run_06,TRUE,6,5,164,0,1.37610000000001,FALSE,inf_exp.low_neg_out,0.5306
NF133,Run_06,TRUE,6,5,186,0,1.4924,FALSE,inf_exp.low_neg_out,-0.4806
NF133,Run_06,TRUE,6,6,201,0,4.53980000000001,FALSE,inf_exp.low_pos_out,0.436
NF133,Run_06,TRUE,6,6,224,0,1.8383,FALSE,inf_exp.low_pos_out,-0.4445
NF133,Run_06,TRUE,6,7,239,0,1.28909999999999,FALSE,inf_exp.low_pos_out,0.4709
NF133,Run_06,TRUE,6,7,262,0,1.6413,FALSE,inf_exp.low_pos_out,-0.4578
NF133,Run_06,TRUE,6,8,277,0,1.49709999999999,FALSE,no_inf_exp.high_pos_out,0.5035
NF133,Run_06,TRUE,6,8,298,0,1.63440000000003,FALSE,no_inf_exp.high_pos_out,-0.4703
NF133,Run_06,TRUE,6,9,313,0,1.41379999999998,FALSE,no_inf_exp.high_neg_out,0.4452
NF133,Run_06,TRUE,6,9,334,0,NA,TRUE,no_inf_exp.high_neg_out,-0.3177
NF133,Run_06,TRUE,6,10,349,0,NA,TRUE,inf_exp.high_neg_out,0.4849
NF133,Run_06,TRUE,6,10,372,0,NA,TRUE,inf_exp.high_neg_out,-0.4216
NF133,Run_06,TRUE,6,11,387,0,NA,TRUE,no_inf_exp.low_neg_out,0.3315
NF133,Run_06,TRUE,6,11,408,0,NA,TRUE,no_inf_exp.low_neg_out,-0.363
NF133,Run_06,TRUE,6,12,423,0,NA,TRUE,inf_exp.high_pos_out,0.3465
NF133,Run_06,TRUE,6,12,445,0,NA,TRUE,inf_exp.high_pos_out,-0.4023
NF134,Run_01,TRUE,1,1,16,2,6.2452,FALSE,inf_exp.high_pos_out,0
NF134,Run_01,TRUE,1,1,37,1,NA,TRUE,inf_exp.high_pos_out,0
NF134,Run_01,TRUE,1,2,52,1,NA,TRUE,inf_exp.low_pos_out,0.0552
NF134,Run_01,TRUE,1,2,73,1,1.2024,FALSE,inf_exp.low_pos_out,0.0453
NF134,Run_01,TRUE,1,3,88,-1,1.89790000000001,FALSE,no_inf_exp.low_neg_out,0.0812
NF134,Run_01,TRUE,1,3,110,-2,1.7617,FALSE,no_inf_exp.low_neg_out,0.0667
NF134,Run_01,TRUE,1,4,125,0,1.32680000000001,FALSE,no_inf_exp.high_neg_out,0.0571
NF134,Run_01,TRUE,1,4,148,-2,1.24350000000001,FALSE,no_inf_exp.high_neg_out,0.0373
NF134,Run_01,TRUE,1,5,163,2,1.53720000000001,FALSE,inf_exp.low_pos_out,0.0109
NF134,Run_01,TRUE,1,5,185,2,1.29050000000001,FALSE,inf_exp.low_pos_out,-0.0189
NF134,Run_01,TRUE,1,6,200,-2,1.767,FALSE,no_inf_exp.low_pos_out,0.0382
NF134,Run_01,TRUE,1,6,223,-1,1.4511,FALSE,no_inf_exp.low_pos_out,0.0035
NF134,Run_01,TRUE,1,7,238,2,2.01339999999999,FALSE,inf_exp.high_pos_out,0.0607
NF134,Run_01,TRUE,1,7,261,2,1.57979999999998,FALSE,inf_exp.high_pos_out,0.031
NF134,Run_01,TRUE,1,8,276,-2,1.92720000000003,FALSE,no_inf_exp.low_neg_out,0.1142
NF134,Run_01,TRUE,1,8,298,-2,1.92939999999999,FALSE,no_inf_exp.low_neg_out,0.075
NF134,Run_01,TRUE,1,9,313,1,2.05419999999998,FALSE,inf_exp.high_neg_out,0.0899
NF134,Run_01,TRUE,1,9,335,1,2.10759999999999,FALSE,inf_exp.high_neg_out,0.0453
NF134,Run_01,TRUE,1,10,350,1,1.93430000000001,FALSE,inf_exp.low_neg_out,0.0322
NF134,Run_01,TRUE,1,10,371,0,1.6662,FALSE,inf_exp.low_neg_out,-0.002
NF134,Run_01,TRUE,1,11,386,-1,NA,TRUE,no_inf_exp.high_pos_out,0.0038
NF134,Run_01,TRUE,1,11,409,1,NA,TRUE,no_inf_exp.high_pos_out,-0.0254
NF134,Run_01,TRUE,1,12,424,-1,NA,TRUE,no_inf_exp.high_neg_out,0.0497
NF134,Run_01,TRUE,1,12,445,-1,NA,TRUE,no_inf_exp.high_neg_out,0.0304
NF134,Run_02,TRUE,2,1,16,-1,2.0566,FALSE,no_inf_exp.low_neg_out,0.0036
NF134,Run_02,TRUE,2,1,38,-1,1.5935,FALSE,no_inf_exp.low_neg_out,-0.0256
NF134,Run_02,TRUE,2,2,53,-1,1.5884,FALSE,no_inf_exp.high_neg_out,-0.0184
NF134,Run_02,TRUE,2,2,76,-1,1.0513,FALSE,no_inf_exp.high_neg_out,-0.0525
NF134,Run_02,TRUE,2,3,91,2,1.3171,FALSE,inf_exp.high_pos_out,-0.0626
NF134,Run_02,TRUE,2,3,113,1,1.1026,FALSE,inf_exp.high_pos_out,-0.1062
NF134,Run_02,TRUE,2,4,128,1,1.49340000000001,FALSE,inf_exp.low_pos_out,-0.0057
NF134,Run_02,TRUE,2,4,149,0,1.11369999999999,FALSE,inf_exp.low_pos_out,-0.0594
NF134,Run_02,TRUE,2,5,164,-1,1.15880000000001,FALSE,no_inf_exp.high_neg_out,0.0221
NF134,Run_02,TRUE,2,5,185,-1,1.6224,FALSE,no_inf_exp.high_neg_out,-0.0366
NF134,Run_02,TRUE,2,6,200,2,1.2353,FALSE,inf_exp.high_neg_out,-0.0224
NF134,Run_02,TRUE,2,6,223,1,1.4529,FALSE,inf_exp.high_neg_out,-0.0908
NF134,Run_02,TRUE,2,7,238,-1,1.41370000000001,FALSE,no_inf_exp.low_neg_out,-0.077
NF134,Run_02,TRUE,2,7,261,-1,1.36790000000002,FALSE,no_inf_exp.low_neg_out,-0.1356
NF134,Run_02,TRUE,2,8,276,1,2.02749999999997,FALSE,inf_exp.high_pos_out,-0.0966
NF134,Run_02,TRUE,2,8,297,2,1.84690000000001,FALSE,inf_exp.high_pos_out,-0.1595
NF134,Run_02,TRUE,2,9,312,-2,1.50529999999998,FALSE,no_inf_exp.low_pos_out,-0.0388
NF134,Run_02,TRUE,2,9,335,-1,1.94499999999999,FALSE,no_inf_exp.low_pos_out,-0.1119
NF134,Run_02,TRUE,2,10,350,0,1.80169999999998,FALSE,no_inf_exp.high_pos_out,-0.0135
NF134,Run_02,TRUE,2,10,371,0,1.72129999999999,FALSE,no_inf_exp.high_pos_out,-0.0813
NF134,Run_02,TRUE,2,11,386,1,2.55149999999998,FALSE,inf_exp.low_neg_out,0.0336
NF134,Run_02,TRUE,2,11,408,1,1.90030000000002,FALSE,inf_exp.low_neg_out,-0.0239
NF134,Run_02,TRUE,2,12,423,1,2.9776,FALSE,inf_exp.low_pos_out,0.0051
NF134,Run_02,TRUE,2,12,445,1,2.49700000000001,FALSE,inf_exp.low_pos_out,-0.0473
NF134,Run_03,TRUE,3,1,16,1,0.763200000000001,FALSE,inf_exp.low_pos_out,0.0326
NF134,Run_03,TRUE,3,1,39,1,0.850999999999999,FALSE,inf_exp.low_pos_out,-0.0247
NF134,Run_03,TRUE,3,2,54,2,0.976100000000002,FALSE,inf_exp.high_pos_out,0.0592
NF134,Run_03,TRUE,3,2,76,0,2.06659999999999,FALSE,inf_exp.high_pos_out,-0.0028
NF134,Run_03,TRUE,3,3,91,-1,1.4576,FALSE,no_inf_exp.high_neg_out,0.1128
NF134,Run_03,TRUE,3,3,114,-1,1.2431,FALSE,no_inf_exp.high_neg_out,0.0412
NF134,Run_03,TRUE,3,4,129,1,1.23560000000001,FALSE,inf_exp.low_pos_out,0.0665
NF134,Run_03,TRUE,3,4,150,2,1.20249999999999,FALSE,inf_exp.low_pos_out,-0.0151
NF134,Run_03,TRUE,3,5,165,-1,2.63339999999999,FALSE,no_inf_exp.high_neg_out,0.0923
NF134,Run_03,TRUE,3,5,186,-1,1.23429999999999,FALSE,no_inf_exp.high_neg_out,0.006
NF134,Run_03,TRUE,3,6,201,-2,1.24529999999999,FALSE,no_inf_exp.high_pos_out,0.0468
NF134,Run_03,TRUE,3,6,223,0,1.4093,FALSE,no_inf_exp.high_pos_out,-0.0493
NF134,Run_03,TRUE,3,7,238,2,2.59209999999999,FALSE,inf_exp.high_pos_out,0.0932
NF134,Run_03,TRUE,3,7,260,1,1.62529999999998,FALSE,inf_exp.high_pos_out,0.0072
NF134,Run_03,TRUE,3,8,275,-1,1.53730000000002,FALSE,no_inf_exp.low_pos_out,0.1458
NF134,Run_03,TRUE,3,8,296,-1,1.6662,FALSE,no_inf_exp.low_pos_out,0.0504
NF134,Run_03,TRUE,3,9,311,0,1.41239999999999,FALSE,no_inf_exp.low_neg_out,0.1674
NF134,Run_03,TRUE,3,9,333,-1,NA,TRUE,no_inf_exp.low_neg_out,0.0766
NF134,Run_03,TRUE,3,10,348,-1,NA,TRUE,no_inf_exp.low_neg_out,0.143
NF134,Run_03,TRUE,3,10,369,-1,NA,TRUE,no_inf_exp.low_neg_out,0.0469
NF134,Run_03,TRUE,3,11,384,1,NA,TRUE,inf_exp.high_neg_out,0.1192
NF134,Run_03,TRUE,3,11,407,-1,NA,TRUE,inf_exp.high_neg_out,0.0181
NF134,Run_03,TRUE,3,12,422,1,NA,TRUE,inf_exp.low_neg_out,0.0608
NF134,Run_03,TRUE,3,12,445,-1,NA,TRUE,inf_exp.low_neg_out,-0.03
NF134,Run_04,TRUE,4,1,16,0,1.0752,FALSE,no_inf_exp.high_neg_out,0.0315
NF134,Run_04,TRUE,4,1,37,-1,1.2376,FALSE,no_inf_exp.high_neg_out,-0.054
NF134,Run_04,TRUE,4,2,52,-1,1.4996,FALSE,no_inf_exp.low_neg_out,-0.0126
NF134,Run_04,TRUE,4,2,75,-1,1.7175,FALSE,no_inf_exp.low_neg_out,-0.1077
NF134,Run_04,TRUE,4,3,90,2,1.2496,FALSE,inf_exp.low_pos_out,-0.0328
NF134,Run_04,TRUE,4,3,112,1,1.93000000000001,FALSE,inf_exp.low_pos_out,-0.1323
NF134,Run_04,TRUE,4,4,127,-1,1.0566,FALSE,no_inf_exp.high_neg_out,-0.0043
NF134,Run_04,TRUE,4,4,150,-1,1.06309999999999,FALSE,no_inf_exp.high_neg_out,-0.1089
NF134,Run_04,TRUE,4,5,165,1,NA,TRUE,inf_exp.low_pos_out,-0.0472
NF134,Run_04,TRUE,4,5,188,1,1.35900000000001,FALSE,inf_exp.low_pos_out,-0.1611
NF134,Run_04,TRUE,4,6,203,1,1.50120000000001,FALSE,inf_exp.low_neg_out,-0.0183
NF134,Run_04,TRUE,4,6,224,1,1.63890000000001,FALSE,inf_exp.low_neg_out,-0.1373
NF134,Run_04,TRUE,4,7,239,-1,1.46639999999999,FALSE,no_inf_exp.low_neg_out,-0.0454
NF134,Run_04,TRUE,4,7,260,-2,1.55029999999999,FALSE,no_inf_exp.low_neg_out,-0.1596
NF134,Run_04,TRUE,4,8,274,1,3.0609,FALSE,inf_exp.high_neg_out,-0.0644
NF134,Run_04,TRUE,4,8,297,1,1.75920000000002,FALSE,inf_exp.high_neg_out,-0.1828
NF134,Run_04,TRUE,4,9,312,2,2.72460000000001,FALSE,inf_exp.high_pos_out,-0.1178
NF134,Run_04,TRUE,4,9,334,0,1.80739999999997,FALSE,inf_exp.high_pos_out,-0.2266
NF134,Run_04,TRUE,4,10,349,1,1.58300000000003,FALSE,inf_exp.high_pos_out,-0.0594
NF134,Run_04,TRUE,4,10,370,1,2.23329999999999,FALSE,inf_exp.high_pos_out,-0.1786
NF134,Run_04,TRUE,4,11,385,-1,2.54520000000002,FALSE,no_inf_exp.low_pos_out,-0.0026
NF134,Run_04,TRUE,4,11,407,-1,2.01510000000002,FALSE,no_inf_exp.low_pos_out,-0.132
NF134,Run_04,TRUE,4,12,422,-2,1.8433,FALSE,no_inf_exp.high_pos_out,0.0231
NF134,Run_04,TRUE,4,12,445,0,1.89510000000001,FALSE,no_inf_exp.high_pos_out,-0.1007
NF134,Run_05,TRUE,5,1,16,0,0.972999999999999,FALSE,inf_exp.high_pos_out,0.0707
NF134,Run_05,TRUE,5,1,38,1,1.243,FALSE,inf_exp.high_pos_out,-0.0428
NF134,Run_05,TRUE,5,2,53,1,1.0686,FALSE,inf_exp.low_pos_out,0.1239
NF134,Run_05,TRUE,5,2,74,0,1.3724,FALSE,inf_exp.low_pos_out,9e-04
NF134,Run_05,TRUE,5,3,89,-1,0.799599999999998,FALSE,no_inf_exp.low_neg_out,0.1481
